Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
1592852.745863411,0,0,0,0,1,0,0,0,0,68.9,40.9,78,28,2.9,1577793.03885147,1588628.197292276,1524809.4170369676,1656752.3157291035,1410003.6404215635,1454241.1136652448,1905459.3162313127,1989496.9681735288,1958969.5666172071,2250880.082960572
1733117.9468926315,0,0,0,0,0,1,0,0,0,72.9,42.2,88,32,2.7,1592852.745863411,1577793.03885147,1588628.197292276,1524809.4170369676,1656752.3157291035,1410003.6404215635,1454241.1136652448,2022353.6538855329,1892157.6809075612,2210895.210236076
1813037.348445523,0,0,0,0,0,0,1,0,0,85.4,46.8,59,9,2.7,1733117.9468926315,1592852.745863411,1577793.03885147,1588628.197292276,1524809.4170369676,1656752.3157291035,1410003.6404215635,1976104.3697329003,1888237.215453288,2189629.0658219685
1870273.3463636264,1,0,0,0,0,0,0,0,0,90.7,49.1,54,10,2.7,1813037.348445523,1733117.9468926315,1592852.745863411,1577793.03885147,1588628.197292276,1524809.4170369676,1656752.3157291035,2087625.151023857,1909926.0840232105,2119021.1156970016
1822437.8928604547,0,1,0,0,0,0,0,0,0,82.7,50.2,54,12,3,1870273.3463636264,1813037.348445523,1733117.9468926315,1592852.745863411,1577793.03885147,1588628.197292276,1524809.4170369676,2005203.665315295,2005317.5188217808,2124663.073099207
1730719.7671525383,0,0,1,0,0,0,0,0,0,74,47.8,75,20,3,1822437.8928604547,1870273.3463636264,1813037.348445523,1733117.9468926315,1592852.745863411,1577793.03885147,1588628.197292276,2019254.1754441895,2011702.3666135452,2068171.760895338
1803918.5203942084,0,0,0,1,0,0,0,0,0.04,75.1,45.9,89,33,2,1730719.7671525383,1822437.8928604547,1870273.3463636264,1813037.348445523,1733117.9468926315,1592852.745863411,1577793.03885147,1964934.607655754,2008675.8980423268,2076544.7811544968
1784862.2710448825,0,0,0,0,1,0,0,0,0,80.2,47.7,76,13,2.6,1803918.5203942084,1730719.7671525383,1822437.8928604547,1870273.3463636264,1813037.348445523,1733117.9468926315,1592852.745863411,1905459.3162313127,1989496.9681735288,1958969.5666172071
1793423.501174158,0,0,0,0,0,1,0,0,0.02,82.2,47.6,61,14,2.7,1784862.2710448825,1803918.5203942084,1730719.7671525383,1822437.8928604547,1870273.3463636264,1813037.348445523,1733117.9468926315,1454241.1136652448,2022353.6538855329,1892157.6809075612
1814361.9240298467,0,0,0,0,0,0,1,0,0,78.7,48,74,18,2.9,1793423.501174158,1784862.2710448825,1803918.5203942084,1730719.7671525383,1822437.8928604547,1870273.3463636264,1813037.348445523,1410003.6404215635,1976104.3697329003,1888237.215453288
