Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
89383.979214572,0,0,0,0,0,1,0,0,0,72.4,45.9,75,24,2.9,81592.5693449832,92701.6644091468,96003.7901232032,93406.8529805264,94739.3579154988,101488.20778516,97212.7916815608,94052.8706428192,108796.6005119252,102553.1345383328
80199.1729814436,0,0,0,0,0,0,1,0,0.01,63.1,44.5,82,42,2.7,89383.979214572,81592.5693449832,92701.6644091468,96003.7901232032,93406.8529805264,94739.3579154988,101488.20778516,96491.594798494,97741.215577628,111711.833758476
48495.6841524764,1,0,0,0,0,0,0,0,1.21,52.3,39.9,95,62,4.3,80199.1729814436,89383.979214572,81592.5693449832,92701.6644091468,96003.7901232032,93406.8529805264,94739.3579154988,91313.7288248276,106992.1496029596,92565.070123442
76803.0171375236,0,1,0,0,0,0,0,0,0.01,58.6,35.3,100,23,5,48495.6841524764,80199.1729814436,89383.979214572,81592.5693449832,92701.6644091468,96003.7901232032,93406.8529805264,86248.2950589456,86949.070123832,105741.257135514
57875.657138837996,0,0,1,0,0,0,0,0,0,67.4,37.4,54,13,3.8,76803.0171375236,48495.6841524764,80199.1729814436,89383.979214572,81592.5693449832,92701.6644091468,96003.7901232032,87969.9366172676,91597.6145390936,94472.3781752576
56564.2472687992,0,0,0,1,0,0,0,0,0,62.1,38.9,72,21,6.4,57875.657138837996,76803.0171375236,48495.6841524764,80199.1729814436,89383.979214572,81592.5693449832,92701.6644091468,96147.11687643999,72623.7257092424,96218.55583747399
63553.745450132,0,0,0,0,1,0,0,1,0,67.3,42.7,61,21,5.7,56564.2472687992,57875.657138837996,76803.0171375236,48495.6841524764,80199.1729814436,89383.979214572,81592.5693449832,85441.371422638,105194.8051875,88779.7776561724
75687.0732414972,0,0,0,0,0,1,0,0,0,63.6,40,72,25,2.6,63553.745450132,56564.2472687992,57875.657138837996,76803.0171375236,48495.6841524764,80199.1729814436,89383.979214572,97212.7916815608,94052.8706428192,108796.6005119252
76386.87583885119,0,0,0,0,0,0,1,0,0,63.8,39.6,83,31,2.2,75687.0732414972,63553.745450132,56564.2472687992,57875.657138837996,76803.0171375236,48495.6841524764,80199.1729814436,101488.20778516,96491.594798494,97741.215577628
107409.4877847488,1,0,0,0,0,0,0,0,0.03,67.1,39,91,34,2.8,76386.87583885119,75687.0732414972,63553.745450132,56564.2472687992,57875.657138837996,76803.0171375236,48495.6841524764,94739.3579154988,91313.7288248276,106992.1496029596
80085.9927217112,0,1,0,0,0,0,0,0,0,73.8,37.9,93,22,2.2,107409.4877847488,76386.87583885119,75687.0732414972,63553.745450132,56564.2472687992,57875.657138837996,76803.0171375236,93406.8529805264,86248.2950589456,86949.070123832
78643.2249296036,0,0,1,0,0,0,0,0,0,75.6,42.9,64,14,2.9,80085.9927217112,107409.4877847488,76386.87583885119,75687.0732414972,63553.745450132,56564.2472687992,57875.657138837996,96003.7901232032,87969.9366172676,91597.6145390936
90251.1958378884,0,0,0,1,0,0,0,0,0,76.1,41.5,67,15,3,78643.2249296036,80085.9927217112,107409.4877847488,76386.87583885119,75687.0732414972,63553.745450132,56564.2472687992,92701.6644091468,96147.11687643999,72623.7257092424
89193.0763574424,0,0,0,0,1,0,0,0,0,75,42.3,62,9,3.3,90251.1958378884,78643.2249296036,80085.9927217112,107409.4877847488,76386.87583885119,75687.0732414972,63553.745450132,81592.5693449832,85441.371422638,105194.8051875
102319.3683045828,0,0,0,0,0,1,0,0,0,71.7,38.4,82,10,4.8,89193.0763574424,90251.1958378884,78643.2249296036,80085.9927217112,107409.4877847488,76386.87583885119,75687.0732414972,89383.979214572,97212.7916815608,94052.8706428192
101301.7932397184,0,0,0,0,0,0,1,0,0,69.6,36.3,51,15,2.7,102319.3683045828,89193.0763574424,90251.1958378884,78643.2249296036,80085.9927217112,107409.4877847488,76386.87583885119,80199.1729814436,101488.20778516,96491.594798494
92822.8488247228,1,0,0,0,0,0,0,0,0,71.4,40.5,55,15,3.9,101301.7932397184,102319.3683045828,89193.0763574424,90251.1958378884,78643.2249296036,80085.9927217112,107409.4877847488,48495.6841524764,94739.3579154988,91313.7288248276
90957.880513164,0,1,0,0,0,0,0,0,0,72.1,38.9,55,11,2.5,92822.8488247228,101301.7932397184,102319.3683045828,89193.0763574424,90251.1958378884,78643.2249296036,80085.9927217112,76803.0171375236,93406.8529805264,86248.2950589456
89674.7470067596,0,0,1,0,0,0,0,0,0,78,42.4,51,12,2.7,90957.880513164,92822.8488247228,101301.7932397184,102319.3683045828,89193.0763574424,90251.1958378884,78643.2249296036,57875.657138837996,96003.7901232032,87969.9366172676
95412.3802531144,0,0,0,1,0,0,0,0,0.01,87.1,47.8,53,6,3.5,89674.7470067596,90957.880513164,92822.8488247228,101301.7932397184,102319.3683045828,89193.0763574424,90251.1958378884,56564.2472687992,92701.6644091468,96147.11687643999
93963.553240228,0,0,0,0,1,0,0,0,0,86.4,49.7,36,9,3.4,95412.3802531144,89674.7470067596,90957.880513164,92822.8488247228,101301.7932397184,102319.3683045828,89193.0763574424,63553.745450132,81592.5693449832,85441.371422638
106254.6451874264,0,0,0,0,0,1,0,0,0,86.1,49.2,37,12,4.1,93963.553240228,95412.3802531144,89674.7470067596,90957.880513164,92822.8488247228,101301.7932397184,102319.3683045828,75687.0732414972,89383.979214572,97212.7916815608
109212.1433690392,0,0,0,0,0,0,1,0,0,82.9,48.4,40,11,3.1,106254.6451874264,93963.553240228,95412.3802531144,89674.7470067596,90957.880513164,92822.8488247228,101301.7932397184,76386.87583885119,80199.1729814436,101488.20778516
91844.4716819336,1,0,0,0,0,0,0,1,0,78.9,45.5,43,13,4.9,109212.1433690392,106254.6451874264,93963.553240228,95412.3802531144,89674.7470067596,90957.880513164,92822.8488247228,107409.4877847488,48495.6841524764,94739.3579154988
86539.0628511332,0,1,0,0,0,0,0,0,0,67.7,46.1,46,16,5.6,91844.4716819336,109212.1433690392,106254.6451874264,93963.553240228,95412.3802531144,89674.7470067596,90957.880513164,80085.9927217112,76803.0171375236,93406.8529805264
87098.7553186268,0,0,1,0,0,0,0,0,0,71.2,45.8,66,30,4.1,86539.0628511332,91844.4716819336,109212.1433690392,106254.6451874264,93963.553240228,95412.3802531144,89674.7470067596,78643.2249296036,57875.657138837996,96003.7901232032
89237.5854483484,0,0,0,1,0,0,0,0,0,69.5,43.7,76,37,3.2,87098.7553186268,86539.0628511332,91844.4716819336,109212.1433690392,106254.6451874264,93963.553240228,95412.3802531144,90251.1958378884,56564.2472687992,92701.6644091468
79094.7490854164,0,0,0,0,1,0,0,0,0,63,43.2,82,49,4.7,89237.5854483484,87098.7553186268,86539.0628511332,91844.4716819336,109212.1433690392,106254.6451874264,93963.553240228,89193.0763574424,63553.745450132,81592.5693449832
56617.807788276,0,0,0,0,0,1,0,0,0.41,52.1,42.5,94,69,2.8,79094.7490854164,89237.5854483484,87098.7553186268,86539.0628511332,91844.4716819336,109212.1433690392,106254.6451874264,102319.3683045828,75687.0732414972,89383.979214572
55044.5797364372,0,0,0,0,0,0,1,0,0.18,53.8,37.8,98,54,2.6,56617.807788276,79094.7490854164,89237.5854483484,87098.7553186268,86539.0628511332,91844.4716819336,109212.1433690392,101301.7932397184,76386.87583885119,80199.1729814436
49482.514282277996,1,0,0,0,0,0,0,0,0.78,51.8,36.7,93,43,5,55044.5797364372,56617.807788276,79094.7490854164,89237.5854483484,87098.7553186268,86539.0628511332,91844.4716819336,92822.8488247228,107409.4877847488,48495.6841524764
62412.4425930684,0,1,0,0,0,0,0,0,0,53.1,31,85,37,2.5,49482.514282277996,55044.5797364372,56617.807788276,79094.7490854164,89237.5854483484,87098.7553186268,86539.0628511332,90957.880513164,80085.9927217112,76803.0171375236
